Q_5014
"No Response",-1
Q_5015
"Not at all",0
Extremely,10
Q_5016
"Not at all",0
Extremely,10
Q_5017
"Not at all",0
Extremely,10
Q_5018
"Not at all",0
Extremely,10
Q_5019
"Not at all",0
Extremely,10
Q_5020
"Not at all",0
Extremely,10
Q_5021
"Not at all",0
Extremely,10
Q_5022
"Not at all",0
Extremely,10
Q_5023
"Not at all",0
Extremely,10
Q_5024
"Not at all",0
Extremely,10
Q_5025
"Not at all",0
Extremely,10
Q_5026
"Not at all",0
Extremely,10
Q_5027
"Not at all",0
Extremely,10
Q_5028
Yes,1
No,2
Q_5029
"Not at all",1
Extremely,10
Q_5030
"No Response",-1
Q_5031
Unpleasant,1
Pleasant,10
Q_5032
"Not at all",1
Extremely,10
Q_5033
"Not at all",1
Extremely,10
Q_5034
"Not at all",1
Extremely,10
Q_5035
"No Response",-1
Q_5036
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
Q_5037
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
Q_5038
"No Response",-1
Q_5039
"No Response",-1
Q_5144
"Not at all",0
Extremely,10
Q_5159
"Not at all",0
Extremely,10
Q_5160
"No Response",-1
Q_5161
"No Response",-1
Q_5263
"No pain",0
"Extreme pain",10
Q_5299
"No Response",-1
Q_5308
"No Response",-1
Q_5449
"No Response",-1
Q_5450
"No Response",-1
Q_5470
"No pain",0
"Extreme pain",10
Q_5474
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
"No Response",-1
